Qtd_Colunas,Colunas,Silhouette_Score,Perc_acertos_class,K_melhor
4,"Classification Key,Country,Declaration,No. Injured",0.44906472911937106,99.65013377238114,6
4,"Classification Key,Country,Declaration,No. Affected",0.43251581869114775,99.81477670302532,5
4,"Classification Key,Country,Declaration,No. Homeless",0.4211464683474564,99.71187487137271,5
4,"Classification Key,Country,Declaration,Total Affected",0.43248514504928703,99.77361597036428,5
4,"Classification Key,Country,Declaration,Number of Days",0.4356747545584896,99.52665157439803,6
4,"Classification Key,Country,Declaration,Total Impacted",0.4324853753687444,99.77361597036428,5
4,"Classification Key,Country,Declaration,Fatality Rate",0.3784912882220229,99.25910681210125,7
4,"Classification Key,Country,Declaration,Insured Damage ('000 US$)_corrigido",0.42078543849221517,99.44433010907593,6
4,"Classification Key,Country,Declaration,Total Damage ('000 US$)_corrigido",0.4401018179627645,99.73245523770323,5
4,"Classification Key,Country,Start Year,Start Month",0.22193310240399358,95.41057830829389,10
4,"Classification Key,Country,Start Year,Total Deaths",0.30125348094331167,98.14776703025314,8
4,"Classification Key,Country,Start Year,No. Injured",0.3143226912404312,97.88022226795637,7
4,"Classification Key,Country,Start Year,No. Affected",0.30904504589328335,98.1066062975921,8
4,"Classification Key,Country,Start Year,No. Homeless",0.30677201909682933,98.12718666392261,8
4,"Classification Key,Country,Start Year,Total Affected",0.28594363603629297,97.90080263428689,8
4,"Classification Key,Country,Start Year,Number of Days",0.30469466924682664,98.18892776291418,7
4,"Classification Key,Country,Start Year,Total Impacted",0.28594369861293706,97.92138300061741,8
4,"Classification Key,Country,Start Year,Fatality Rate",0.2658136774712349,97.28339164437126,10
4,"Classification Key,Country,Start Year,Insured Damage ('000 US$)_corrigido",0.29154263372478506,97.75674006997325,6
4,"Classification Key,Country,Start Year,Total Damage ('000 US$)_corrigido",0.30600541778194223,98.1066062975921,7
4,"Classification Key,Country,Start Month,Total Deaths",0.2742282104936534,98.20950812924471,9
4,"Classification Key,Country,Start Month,No. Injured",0.28124057466678265,98.43589215888042,10
4,"Classification Key,Country,Start Month,No. Affected",0.27221404615290945,98.39473142621938,8
4,"Classification Key,Country,Start Month,No. Homeless",0.28614570167884523,98.76517802016875,7
4,"Classification Key,Country,Start Month,Total Affected",0.2790664224748478,98.82691911916032,7
4,"Classification Key,Country,Start Month,Number of Days",0.2849312140050687,98.35357069355834,8
4,"Classification Key,Country,Start Month,Total Impacted",0.2722454807739962,98.14776703025314,8
4,"Classification Key,Country,Start Month,Fatality Rate",0.25054784257479507,98.57995472319408,3
4,"Classification Key,Country,Start Month,Insured Damage ('000 US$)_corrigido",0.2845929575131794,98.62111545585512,8
4,"Classification Key,Country,Start Month,Total Damage ('000 US$)_corrigido",0.2746425250070832,98.82691911916032,7
4,"Classification Key,Country,Total Deaths,No. Injured",0.4014199525788504,99.44433010907593,10
4,"Classification Key,Country,Total Deaths,No. Affected",0.39736398151654984,99.07388351512657,10
4,"Classification Key,Country,Total Deaths,No. Homeless",0.39789224891902714,98.9092405844824,10
4,"Classification Key,Country,Total Deaths,Total Affected",0.3799750163817224,99.3002675447623,8
4,"Classification Key,Country,Total Deaths,Number of Days",0.4036693680899741,99.50607120806751,5
4,"Classification Key,Country,Total Deaths,Total Impacted",0.3799754186918533,99.3002675447623,8
4,"Classification Key,Country,Total Deaths,Fatality Rate",0.36181671464959686,99.56781230705907,3
4,"Classification Key,Country,Total Deaths,Insured Damage ('000 US$)_corrigido",0.4015492696771042,99.58839267338958,5
4,"Classification Key,Country,Total Deaths,Total Damage ('000 US$)_corrigido",0.38916491500931716,99.40316937641491,4
4,"Classification Key,Country,No. Injured,No. Affected",0.3762083894973795,99.56781230705907,6
4,"Classification Key,Country,No. Injured,No. Homeless",0.4168999844205507,99.34142827742333,10
4,"Classification Key,Country,No. Injured,Total Affected",0.38204111952285325,99.15620498044865,10
4,"Classification Key,Country,No. Injured,Number of Days",0.3714918275657713,99.21794607944021,8
4,"Classification Key,Country,No. Injured,Total Impacted",0.38204103973000375,99.15620498044865,10
4,"Classification Key,Country,No. Injured,Fatality Rate",0.3712645564804411,99.17678534677917,7
4,"Classification Key,Country,No. Injured,Insured Damage ('000 US$)_corrigido",0.4090805969305762,99.3002675447623,7
4,"Classification Key,Country,No. Injured,Total Damage ('000 US$)_corrigido",0.4179320394970933,99.54723194072854,4
4,"Classification Key,Country,No. Affected,No. Homeless",0.38573328015587216,99.27968717843177,10
4,"Classification Key,Country,No. Affected,Total Affected",0.3790115076998633,99.58839267338958,5
4,"Classification Key,Country,No. Affected,Number of Days",0.3811081411301084,99.52665157439803,4
4,"Classification Key,Country,No. Affected,Total Impacted",0.39063181084110754,99.23852644577073,10
4,"Classification Key,Country,No. Affected,Fatality Rate",0.3543286910673799,99.09446388145709,5
4,"Classification Key,Country,No. Affected,Insured Damage ('000 US$)_corrigido",0.39341096145957455,99.25910681210125,10
